Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;memoryslot;internalmemory;cam1modules;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;colors;displayother;bodyother;cam1video;cam2modules;memoryother;net3g;speed;cam1features;os;cpu;optionalother;cam2video;chipset
https://www.gsmarena.com/siemens_xelibri_3-509.php;https://fdn2.gsmarena.com/vv/bigpic/sixel3.gif;Siemens Xelibri 3;Released 2003, Q2;55g, 20mm thickness;Feature phone;No card slot;12;N/A;186,509 hits;;101x56 pixels, 5 lines; ;;620 mAh Li-Ion;GSM 900 / 1800;No;No;2003, Q2;Discontinued;74 x 43 x 20 mm, 48 cc (2.91 x 1.69 x 0.79 in);55 g (1.94 oz);Mini-SIM;Monochrome graphic;;101 x 56 pixels, 5 lines, 17:9 ratio;No;;No;No;No;No;No;;;Predictive text inputOrganizerVoice dialAntenna in the necklace;Removable Li-Ion 620 mAh battery;Up to 300 h;Up to 4 h;;ScreensaverDownloadable picturesDigit dial with Navi key;;;;Predefined short messages;;;;;;Ringtones can be assigned to contacts;;
https://www.gsmarena.com/siemens_xelibri_4-508.php;https://fdn2.gsmarena.com/vv/bigpic/sixel4.gif;Siemens Xelibri 4;Released 2003, Q2;71g, 19mm thickness;Feature phone;No card slot;12;N/A;163,506 hits;;101x65 pixels, 5 lines; ;;650 mAh Li-Ion;GSM 900 / 1800;No;No;2003, Q2;Discontinued;99 x 53 x 19 mm, 70 cc (3.90 x 2.09 x 0.75 in);71 g (2.50 oz);Mini-SIM;Monochrome graphic;;101 x 65 pixels, 5 lines;No;;No;No;No;No;No;;;Predictive text inputOrganizerVoice dial;Removable Li-Ion 650 mAh battery;Up to 200 h;Up to 4 h;;ScreensaverDownloadable pictures;;;;Predefined short messages;;;;;;Ringtones can be assigned to contacts;;
https://www.gsmarena.com/siemens_u10-535.php;https://fdn2.gsmarena.com/vv/bigpic/siu10.gif;Siemens U10;Released 2003;184g, 29mm thickness;Feature phone;2MB storage, MMC/SD slot;9;N/A;122,189 hits;;176x220 pixels; ;;800 mAh Li-Po;GSM 900 / 1800 / 1900;;;2003;Discontinued;154 x 55 x 29 mm, 173 cc (6.06 x 2.17 x 1.14 in);184 g (6.49 oz);Mini-SIM;TFT, 4096 colors;;176 x 220 pixels;MMC/SD, 32 MB SD included;2MB;VGA;No;Yes;No;No;Proprietary;;MP3/MP4 playerPredictive text inputOrganizerVoice memoVoice dial;Removable Li-Po 800 mAh battery (EBA-010);Up to 120 h;Up to 1 h 20 min;Titanium;;;No;No;;UMTS 2100;Yes, 384 kbps;;;;;;
https://www.gsmarena.com/siemens_a52-474.php;https://fdn2.gsmarena.com/vv/bigpic/sia52.gif;Siemens A52;Released 2003, Q3;84g, 21mm thickness;Feature phone;No card slot;26;N/A;223,899 hits;;101x64 pixels, 5 lines; ;;700 mAh Li-Ion;GSM 900 / 1800;No;No;2003, Q3;Discontinued;104 x 46 x 21 mm, 75 cc (4.09 x 1.81 x 0.83 in);84 g (2.96 oz);Mini-SIM;Monochrome graphic;;101 x 64 pixels, 5 lines;No;;No;No;No;No;No;;;Predictive text inputCalculatorExchangeable Clip-it covers;Removable Li-Ion 700 mAh battery (EBA-510);Up to 250 h;Up to 6 h;Beige, Black;SoftkeysDownloadable logos, screensavers;;;;;;;;;;;;
https://www.gsmarena.com/siemens_m55-407.php;https://fdn2.gsmarena.com/vv/bigpic/sim55.gif;Siemens M55;Released 2003, Q2;83g, 21mm thickness;Feature phone;1.8MB storage, no card slot;50;0.1%;545,313 hits;;101x80 pixels, 7 lines; ;;700 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 8;No;2003, Q2;Discontinued;101 x 46 x 21 mm (3.98 x 1.81 x 0.83 in);83 g (2.93 oz);Mini-SIM;CSTN, 4096 colors;;101 x 80 pixels, 7 lines;No;1.8MB;No;No;No;No;No;;;Predictive text inputOrganizerStopwatchReminder listVoice dialVoice commandUser profilesSyncMLOptional digital camera;Removable Li-Ion 700 mAh battery (EBA-510);Up to 250 h;Up to 6 h;;Navi key;;;;20 voice dial numbers10 voice dial commands500 calendar items;;;;;;;;
https://www.gsmarena.com/siemens_a55-394.php;https://fdn2.gsmarena.com/vv/bigpic/sia55.gif;Siemens A55;Released 2003, Q1;84g, 21mm thickness;Feature phone;120 KB storage, no card slot;31;0.1%;311,973 hits;;101x64 pixels, 5 lines; ;;700 mAh Li-Ion;GSM 900 / 1800;No;No;2003, Q1;Discontinued;101 x 44 x 21 mm, 84 cc (3.98 x 1.73 x 0.83 in);84 g (2.96 oz);Mini-SIM;Monochrome graphic;;101 x 64 pixels, 5 lines;No;120 KB;No;No;No;No;No;;;Predictive text inputCalculatorCurrency converterExchangeable Clip-it covers;Removable Li-Ion 700 mAh battery (EBA-510);Up to 250 h;Up to 2 h;4;SoftkeysDownloadable logos and screensaver;;;;25 short messages9 SMS templates;;;;;;;;
https://www.gsmarena.com/siemens_sl55-380.php;https://fdn2.gsmarena.com/vv/bigpic/sisl55.gif;Siemens SL55;Released 2003, Q2;79g, 22mm thickness;Feature phone;1.6MB storage, no card slot;27;N/A;539,690 hits;;101x80 pixels; ;;500 mAh Li-Po;GSM 900 / 1800 / 1900;Class 8;No;2003, Q2;Discontinued;82 x 45 x 22 mm, 63 cc (3.23 x 1.77 x 0.87 in);79 g (2.79 oz);Mini-SIM;CSTN, 4096 colors;;101 x 80 pixels;No;1.6MB;No;No;No;No;No;;;Predictive text inputStopwatchOrganizerVoice dialVoice commandVoice memoUser profilesSyncMLOptional digital camera;Removable Li-Po 500 mAh battery (EBA-520);Up to 210 h;Up to 5 h;;Navi keyRetractable keyboard, like in Siemens SL10;;;;20 voice dial numbers20 voice commands100 short messagesSMS templates;;;;;;;;
https://www.gsmarena.com/siemens_s55-343.php;https://fdn2.gsmarena.com/vv/bigpic/sis55.gif;Siemens S55;Released 2002;85g, 18mm thickness;Feature phone;400 KB storage, no card slot;39;N/A;446,239 hits;;101x80 pixels, 7 lines; ;;700 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2002;Discontinued;101 x 42 x 18 mm, 69 cc (3.98 x 1.65 x 0.71 in);85 g (3.00 oz);Mini-SIM;CSTN, 256 colors;;101 x 80 pixels, 7 lines;No;400 KB;No;No;1.1;No;No;;;Predictive text inputOrganizerStopwatchVoice dialVoice commandUser profilesSyncMLExternal digital camera (included);Removable Li-Ion 700 mAh battery (EBA-510);Up to 12 days;Up to 6 h;;Navi key;;;;;;;;;;;;
https://www.gsmarena.com/siemens_cl50-337.php;https://fdn2.gsmarena.com/vv/bigpic/sicl50.gif;Siemens CL50;Released 2002, Aug;73g, 22mm thickness;Feature phone;No card slot;10;N/A;188,732 hits;;112x64 pixels; ;;600 mAh Li-Ion;GSM 900 / 1800;No;No;2002, Aug;Discontinued;73 x 39 x 22 mm, 59 cc (2.87 x 1.54 x 0.87 in);73 g (2.57 oz);Mini-SIM;Monochrome graphic;;112 x 64 pixels, 16:9 ratio;No;;No;No;No;No;No;;;Predictive text inputOrganizer;Removable Li-Ion 600 mAh battery;220 h;5 h;2 - Champagne, Pearl white;Dual screen displayNavi key;;;;;;;;;;Personalized sounds and pictures;;
https://www.gsmarena.com/siemens_c55-336.php;https://fdn2.gsmarena.com/vv/bigpic/sic55.gif;Siemens C55;Released 2002, Sep;80g, 21mm thickness;Feature phone;No card slot;44;0.1%;361,805 hits;;101x64 pixels, 5 lines; ;;700 mAh Li-Ion;GSM 900 / 1800;Class 8;No;2002, Sep;Discontinued;101 x 44 x 21 mm, 69 cc (3.98 x 1.73 x 0.83 in);80 g (2.82 oz);Mini-SIM;Monochrome graphic;;101 x 64 pixels, 5 lines;No;;No;No;No;No;No;;;Predictive text inputOrganizerChangeable coverUser profilesBuilt-in hadsfree;Removable Li-Ion 700 mAh battery (EBA-510);250 h;6 h;3 - aqua, champagne, bordeaux;Navi key;;;;;;;;;;;;
