Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;memoryslot;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;batmusicplayback1;colors;price;gprstext;edge;internalmemory;displayother;displayprotection;optionalother;memoryother;bodyother;sar-eu;os;cpu
https://www.gsmarena.com/sagem_my901c-2132.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my901c.gif;Sagem my901C;Released 2008, February;115g, 23.5mm thickness;Feature phone;miniSD slot;8;N/A;120,438 hits;"1.9""";240x320 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;UMTS 2100;Yes, 384 kbps;2007, March. Released 2008, February;Discontinued;90 x 45 x 23.5 mm (3.54 x 1.77 x 0.93 in);115 g (4.06 oz);Mini-SIM;TFT, 256K colors;1.9 inches, 11.2 cm(~27.6% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~211 ppi density);miniSD;2 MP;;Yes;VGA videocall camera;;No;2.0, A2DP;No;No;Proprietary;;Video telephony & streamingMP3/AAC playerPredictive text inputOrganizerVoice memo;Removable Li-Ion battery;Up to 300 h;Up to 5 h;;Black, Dark Blue, Dark Red;;;;;Second external TFT, 256K colors display (96 x 64 pixels);;;;;;;
https://www.gsmarena.com/sagem_my900c-1505.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my900c.gif;Sagem my900C;Cancelled;115g, 23.5mm thickness;Feature phone;miniSD slot;8;N/A;164,060 hits;;240x320 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;UMTS 2100;Yes, 384 kbps;2006, March;Cancelled;90 x 45 x 23.5 mm (3.54 x 1.77 x 0.93 in);115 g (4.06 oz);Mini-SIM;TFT, 256K colors;;240 x 320 pixels, 4:3 ratio;miniSD;2 MP;;Yes;VGA videocall camera;;No;Yes;No;No;Proprietary;;Video telephony & streamingMP3/AAC playerPredictive text inputOrganizerVoice memo;Removable Li-Ion battery;;;;;;;;;Second external TFT, 256K colors display (96 x 64 pixels);;;;;;;
https://www.gsmarena.com/sagem_my850c-2133.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my850c.gif;Sagem my850C;Released 2006, March;95g, 16mm thickness;Feature phone;64MB storage, microSD slot;8;N/A;131,262 hits;"2.0""";240x320 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;UMTS 2100;Yes, 384 kbps;2006, March;Discontinued;96 x 49 x 16 mm (3.78 x 1.93 x 0.63 in);95 g (3.35 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.4 cm(~26.3% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~200 ppi density);microSD (dedicated slot);2 MP;;Yes;VGA videocall camera;;No;2.0, A2DP;No;No;1.0;;Video telephony & streamingMP3/AAC/AAC+/eAAC+ playerPredictive text inputOrganizerVoice memo;Removable Li-Ion battery;Up to 300 h;Up to 3 h 30 min;;Black;About 250 EUR;;;64MB;Second external mono display (96 x 64 pixels);;;;;;;
https://www.gsmarena.com/sagem_my800x-1504.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my800x.gif;Sagem my800X;Released 2006, March;99g, 16mm thickness;Feature phone;16MB storage, miniSD slot;7;N/A;217,671 hits;;176x220 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;UMTS 2100;Yes, 384 kbps;2006, March;Discontinued;110 x 47 x 16 mm (4.33 x 1.85 x 0.63 in);99 g (3.49 oz);Mini-SIM;TFT, 256K colors;;176 x 220 pixels;miniSD;1.3 MP;;Yes;VGA videocall camera;;No;Yes;No;No;1.0;;Video telephony & streamingMP3/AAC playerPredictive text inputOrganizerVoice memo;Removable Li-Ion 1000 mAh battery;;;;Silver, Black;About 190 EUR;;;16MB;;;;;;;;
https://www.gsmarena.com/sagem_my700x-1432.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my700x.gif;Sagem my700X;Released 2006, February;95g, 15mm thickness;Feature phone;32MB storage, miniSD slot;15;N/A;281,141 hits;;176x220 pixels; ;;900 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2006, February;Discontinued;106 x 46 x 15 mm, 73 cc (4.17 x 1.81 x 0.59 in);95 g (3.35 oz);Mini-SIM;TFT, 256K colors;;176 x 220 pixels;miniSD;1.3 MP;;Yes;No;;No;1.2, A2DP;No;FM radio;Proprietary;;MP3/AAC/AAC+/eAAC/Wave playerGraphic equalizerSyncMLPredictive text inputOrganizer;Removable Li-Ion battery;Up to 350 h;Up to 5 h;;Silver, Choco, White;;Class 10;Class 10;32MB;;;3D sound;;;;;
https://www.gsmarena.com/sagem_my600x-1710.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my600x.gif;Sagem my600X;Released 2006, September;99g, 16mm thickness;Feature phone;16MB storage, miniSD slot;7;N/A;157,865 hits;"1.8""";176x220 pixels; ;;1300 mAh Li-Ion;GSM 900 / 1800;UMTS 2100;Yes, 384 kbps;2006, September;Discontinued;110 x 48 x 16 mm (4.33 x 1.89 x 0.63 in);99 g (3.49 oz);Mini-SIM;TFT, 256K colors;1.8 inches, 10.2 cm(~19.3% screen-to-body ratio);176 x 220 pixels (~157 ppi density);miniSD;VGA;;Yes;Videocall camera;;No;Yes;No;No;Proprietary;;MP3/AAC playerPredictive text inputOrganizerVoice memo;Removable Li-Ion battery;Up to 350 h;Up to 4 h;;White;;;;16MB;;;;;;;;
https://www.gsmarena.com/sagem_my600v-1793.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my600v.gif;Sagem my600V;Released 2006, October;100g, 16mm thickness;Feature phone;16MB storage, miniSD slot;8;N/A;148,527 hits;"1.9""";176x220 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800;UMTS 2100;Yes, 384 kbps;2006, October;Discontinued;110 x 48 x 16 mm (4.33 x 1.89 x 0.63 in);100 g (3.53 oz);Mini-SIM;TFT, 256K colors;1.9 inches, 11.4 cm(~21.5% screen-to-body ratio);176 x 220 pixels (~148 ppi density);miniSD;VGA;;Yes;CIF videocall camera;;No;Yes;No;No;Proprietary;;Video telephonyMP3/AAC playerPredictive text inputOrganizerVoice memo;Removable Li-Ion 1000 mAh battery;Up to 350 h;Up to 2 h 40 min;;Black;;;;16MB;;;;;;;;
https://www.gsmarena.com/sagem_my511x-2135.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my511x.gif;Sagem my511X;Released 2007, September;90g, 10mm thickness;Feature phone;32MB storage, microSD slot;13;N/A;199,142 hits;"1.9""";128x160 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2007, September;Discontinued;107 x 46 x 10 mm (4.21 x 1.81 x 0.39 in);90 g (3.17 oz);Mini-SIM;TFT, 65K colors;1.9 inches, 11.4 cm(~23.1% screen-to-body ratio);128 x 160 pixels (~108 ppi density);microSD (dedicated slot);1.3 MP;;Yes;No;;No;Yes;No;No;miniUSB;;MP3/AAC playerPredictive text inputOrganizer;Removable Li-Ion battery;Up to 200 h;Up to 3 h;;Black, Blue;About 140 EUR;Class 10;No;32MB;;;;;;;;
https://www.gsmarena.com/sagem_my501x-2134.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my501x.gif;Sagem my501X;Released 2006, March;90g, 16.5mm thickness;Feature phone;32MB storage, miniSD slot;7;N/A;112,320 hits;"1.9""";176x220 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2006, March;Discontinued;100 x 46 x 16.5 mm (3.94 x 1.81 x 0.65 in);90 g (3.17 oz);Mini-SIM;TFT, 256K colors;1.9 inches, 11.4 cm(~24.7% screen-to-body ratio);176 x 220 pixels (~148 ppi density);miniSD;1.3 MP;;Yes;No;;No;Yes;No;No;miniUSB;;MP3/AAC playerPredictive text inputOrganizer;Removable Li-Ion battery;Up to 250 h;Up to 3 h 30 min;;Black, Silver, White;;Class 10;No;32MB;;;;;;;;
https://www.gsmarena.com/sagem_my501c-1789.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my501c.gif;Sagem my501C;Released 2006, August;99g, 23.6mm thickness;Feature phone;32MB storage, microSD slot;10;N/A;176,634 hits;"1.8""";128x160 pixels; ;;1530 mAh Li-Ion;GSM 900 / 1800;;;2006, August;Discontinued;93 x 44.6 x 23.6 mm (3.66 x 1.76 x 0.93 in);99 g (3.49 oz);Mini-SIM;CSTN, 65K colors;1.8 inches, 10.2 cm(~24.6% screen-to-body ratio);128 x 160 pixels (~114 ppi density);microSD (dedicated slot);1.3 MP;;Yes;No;;No;Yes;No;No;Proprietary;;MP3/AAC playerPredictive text inputCalculatorCurrency converterSyncML;Removable Li-Ion battery;Up to 250 h;Up to 3 h 30 min;;Silver, Red;About 140 EUR;Yes;No;32MB;Second external OLED, 256 colors displayDownloadable wallpapers;;;;;;;
