Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;cpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2features;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;price;displayprotection;chipset;gpu;memoryother;build;models;batstandby1;battalktime1;optionalother;gprstext;edge;sar-eu;bodyother;featuresother;displayother
https://www.gsmarena.com/panasonic_g60-411.php;https://fdn2.gsmarena.com/vv/bigpic/pag60.gif;Panasonic G60;Released 2003, Q3;87g, 19mm thickness;Feature phone;No card slot;11;N/A;198,487 hits;;128x128 pixels; ;;740 mAh Li-Ion;GSM 900 / 1800;;;;2003, Q3;Discontinued;104 x 47 x 19 mm, 75 cc (4.09 x 1.85 x 0.75 in);87 g (3.07 oz);Mini-SIM;CSTN, 4096 colors;;128 x 128 pixels, 1:1 ratio;;;No;;No;;;;;;No;No;No;;No;;;Removable Li-Ion 740 mAh battery;Chrome metal;;;;;10 message templates15 sec voice memo;;;Up to 250 h;Up to 5 h;;Class 8;No;;;Predictive text inputOrganizerOptional digital camera;Downloadable wallpapers
https://www.gsmarena.com/panasonic_g50-410.php;https://fdn2.gsmarena.com/vv/bigpic/pag50.gif;Panasonic G50;Released 2003, Q3;74g, 18mm thickness;Feature phone;No card slot;19;N/A;306,235 hits;;128x96 pixels; ;;780 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2003, Q3;Discontinued;80 x 43 x 18 mm, 53 cc (3.15 x 1.69 x 0.71 in);74 g (2.61 oz);Mini-SIM;CSTN, 4096 colors;;128 x 96 pixels, 4:3 ratio;;;No;;No;;;;;;No;No;No;;No;;;Removable Li-Ion 780 mAh battery;3 - Silver, Red, Blue;;;;;Message templates;;;Up to 200 h;Up to 6 h;;Class 8;No;;;Predictive text inputOrganizer;Downloadable wallpapers
https://www.gsmarena.com/panasonic_gd55-372.php;https://fdn2.gsmarena.com/vv/bigpic/pagd55.gif;Panasonic GD55;Released 2002, Oct;65g, 17mm thickness;Feature phone;No card slot;28;0.1%;524,899 hits;;112x64 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2002, Oct;Discontinued;77 x 43 x 17 mm, 51 cc (3.03 x 1.69 x 0.67 in);65 g (2.29 oz);Mini-SIM;Graphics;;112 x 64 pixels, 16:9 ratio;;;No;;No;;;;;;No;No;No;;No;;;Removable Li-Ion 720 mAh battery;3 - Silver, Red, Pink;;;;;Message templates100 calendar events;;;Up to 230 h;Up to 8 h;;No;No;;;Predictive text inputOrganizer;Blue backlight20 wallpapersCallerID graphics
https://www.gsmarena.com/panasonic_gd87-322.php;https://fdn2.gsmarena.com/vv/bigpic/pagd87.gif;Panasonic GD87;Released 2002, November;103g, 23mm thickness;Feature phone;No card slot;18;N/A;499,794 hits;;132x176 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2002, November;Discontinued;97 x 49 x 23 mm (3.82 x 1.93 x 0.91 in);103 g (3.63 oz);Mini-SIM;TFT, 65K colors;;132 x 176 pixels, 4:3 ratio;;;No;;CIF;;Yes;No;;;No;No;No;;No;;;Removable Li-Ion 720 mAh battery;;;;;;Message templates;;;75 h - 220 h;1 h 30 min - 7 h;;Class 8;No;;;Sync MLPredictive text inputVoice memoOrganizer;Second display
https://www.gsmarena.com/panasonic_gd67-321.php;https://fdn2.gsmarena.com/vv/bigpic/pagd67.gif;Panasonic GD67;Released 2002;81g, 20mm thickness;Feature phone;No card slot;20;N/A;324,393 hits;;101x80 pixels, 6 lines; ;;690 mAh Li-Ion;GSM 900 / 1800;;;;2002;Discontinued;109 x 45 x 20 mm, 81 cc (4.29 x 1.77 x 0.79 in);81 g (2.86 oz);Mini-SIM;STN, 256 colors;;101 x 80 pixels, 6 lines;;;No;;No;;;;;;No;No;No;;No;;;Removable Li-Ion 690 mAh battery;;;;;;Several fields in the address bookMessage templates;;;60 h - 190 h;1 h 30 min - 6 h;;Class 8;No;;;SyncMLOrganizerPredictive text inputVoice dialVoice memoOn/off timersCallerID graphics;Five directional joystickScreensaversBackground pictures
https://www.gsmarena.com/panasonic_gd95-242.php;https://fdn2.gsmarena.com/vv/bigpic/pagd95.gif;Panasonic GD95;Released 2001;85g, 14mm thickness;Feature phone;No card slot;18;N/A;149,277 hits;;11 linesx16 chars; ;;690 mAh Li-Ion;GSM 900 / 1800;;;;2001;Discontinued;120 x 45 x 14 mm, 90 cc (4.72 x 1.77 x 0.55 in);85 g (3.00 oz);Mini-SIM;Monochrome graphic;;11 lines x 16 chars;;;No;;No;;;;;;No;No;No;;No;;;Removable Li-Ion 690 mAh battery;2;;;;;Message templates;;;up to 90 h;up to 5 h;;Class 8 (GD96 only);No;;;Predictive text inputVoice memoOrganizerDictaphone;LCD illuminates in 3 different colours
https://www.gsmarena.com/panasonic_gd75-269.php;https://fdn2.gsmarena.com/vv/bigpic/pagd75.gif;Panasonic GD75;Released 2001;82g, 16mm thickness;Feature phone;No card slot;14;N/A;229,406 hits;;6 lines; ;;650 mAh Li-Ion;GSM 900 / 1800;;;;2001;Discontinued;106 x 46 x 16 mm, 75 cc (4.17 x 1.81 x 0.63 in);82 g (2.89 oz);Mini-SIM;Monochrome graphic;;6 lines;;;No;;No;;;;;;No;No;No;;No;;;Removable Li-Ion 650 mAh battery;;;;;;Several fields in the address bookMessage templates;;;up to 150 h;up to 6 h;;Yes (GD76 Only);No;;;OrganizerPredictive text inputVoice dialDictaphoneOn/off timersCallerID graphics;Joystick6 screensaversBackground pictures
https://www.gsmarena.com/panasonic_gd35-268.php;https://fdn2.gsmarena.com/vv/bigpic/pagd35.gif;Panasonic GD35;Released 2001;109g, 20mm thickness;Feature phone;No card slot;8;N/A;96,863 hits;;; ;;700 mAh NiMH;GSM 900 / 1800;;;;2001;Discontinued;120 x 46 x 20 mm (4.72 x 1.81 x 0.79 in);109 g (3.84 oz);Mini-SIM;Monochrome graphic;;;;;No;;No;;;;;;No;No;No;;No;;;Removable NiMH 700 mAh battery;3 - Winter White, Black Ice, Cool Blue;;;;;Message templates;;;up to 175 h;2 h - 4 h;;No;No;;;Predictive text inputCalculatorOn/off timersAlert Profiling;
https://www.gsmarena.com/panasonic_gd93-126.php;https://fdn2.gsmarena.com/vv/bigpic/pagd93b.gif;Panasonic GD93;Released 2000;80g, 16.4mm thickness;Feature phone;No card slot;16;N/A;138,662 hits;;6 lines; ;;650 mAh Li-Ion;GSM 900 / 1800;;;;2000;Discontinued;120 x 45 x 16.4 mm (4.72 x 1.77 x 0.65 in);80 g (2.82 oz);Mini-SIM;Monochrome graphic;;6 lines;;;No;;No;;;;;;No;No;No;;No;;;Removable Li-Ion 650 mAh battery;;;;;;Message templates;;;170 h;200 min;Recordable ringer;No;No;;;Predictive text inputVoice memoOn/off timersDictaphoneRing Tone ComposerCallerID graphicsCalculator;LCD illuminates in 7 different colours
https://www.gsmarena.com/panasonic_gd92-125.php;https://fdn2.gsmarena.com/vv/bigpic/pagd92b.gif;Panasonic GD92;Released 2000;77g, 16.4mm thickness;Feature phone;No card slot;15;N/A;199,223 hits;;6 lines; ;;650 mAh Li-Ion;GSM 900 / 1800;;;;2000;Discontinued;118.1 x 40.5 x 16.4 mm (4.65 x 1.59 x 0.65 in);77 g (2.72 oz);Mini-SIM;Monochrome graphic;;6 lines;;;No;;No;;;;;;No;No;No;;No;;;Removable Li-Ion 650 mAh battery;2 ( gun metallic and blue );;;;;Message templates;;;160 h;210 min;Recordable ringer;No;No;;;Predictive text inputVoice memoOn/off timersDictaphoneRing Tone ComposerCallerID graphicsCalculator2 vibration types;LCD illuminates in 4 different colours
