Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayother;memoryslot;cam1modules;cam1video;cam2modules;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;colors;internalmemory;memoryother
https://www.gsmarena.com/bird_d611-1951.php;https://fdn2.gsmarena.com/vv/bigpic/bird-d611.gif;Bird D611;Released 2007;71.4g, 12.2mm thickness;Feature phone;60MB storage, microSD slot;6;N/A;84,133 hits;"1.8""";128x160 pixels; ;;650 mAh Li-Ion;GSM 900 / 1800;Class 12;No;2007;Discontinued;105.5 x 44 x 12.2 mm (4.15 x 1.73 x 0.48 in);71.4 g (2.50 oz);Mini-SIM;TFT, 65K colors;1.8 inches, 10.2 cm(~22.0% screen-to-body ratio);128 x 160 pixels (~114 ppi density);;microSD (dedicated slot);1.3 MP;Yes;No;No;Yes;No;FM radio;Proprietary;;MP3/ MP4 playerAudio RecorderData/ Fax ModemFR,HR,EFR,AMR voice codecsLanguages: Chinese, English, French, Spanish, Portuguese, Hindi;Removable Li-Ion 650 mAh battery;Up to 140 h;Up to 4 h;Black;60MB;
https://www.gsmarena.com/bird_d515-1950.php;https://fdn2.gsmarena.com/vv/bigpic/bird-d515.gif;Bird D515;Cancelled;75g, 10.3mm thickness;Feature phone;microSD slot;6;N/A;99,835 hits;"1.8""";128x160 pixels; ;;650 mAh Li-Ion;GSM 900 / 1800;Class 12;No;2007;Cancelled;106.7 x 46.3 x 10.3 mm (4.20 x 1.82 x 0.41 in);75 g (2.65 oz);Mini-SIM;CSTN, 65K colors;1.8 inches, 10.2 cm(~20.6% screen-to-body ratio);128 x 160 pixels (~114 ppi density);;microSD;VGA;Yes;No;No;Optional;No;FM radio (optional);Proprietary;;MP3/ MP4 playerAudio RecorderData/ Fax ModemFR,HR,EFR,AMR voice codecsLanguages: Chinese, English, French, Spanish, Portuguese, Hindi;Removable Li-Ion 650 mAh battery;Up to 120 h;Up to 3 h 20 min;Black;;
https://www.gsmarena.com/bird_d612-1949.php;https://fdn2.gsmarena.com/vv/bigpic/bird-d612.gif;Bird D612;Released 2007;71.4g, 12.2mm thickness;Feature phone;microSD slot;6;N/A;78,369 hits;"1.8""";128x160 pixels; ;;650 mAh Li-Ion;GSM 900 / 1800;Class 12;No;2007;Discontinued;105.5 x 44 x 12.2 mm (4.15 x 1.73 x 0.48 in);71.4 g (2.50 oz);Mini-SIM;TFT, 65K colors;1.8 inches, 10.2 cm(~22.0% screen-to-body ratio);128 x 160 pixels (~114 ppi density);;microSD (dedicated slot);VGA;Yes;No;No;No;No;No;Proprietary;;Data/ Fax ModemMP3/ MP4 playerAudio RecorderFR,HR,EFR,AMR voice codecsLanguages: Chinese, English, French, Spanish, Portuguese, Hindi;Removable Li-Ion 650 mAh battery;Up to 140 h;Up to 4 h;Blue, Silver;;
https://www.gsmarena.com/bird_m29-1948.php;https://fdn2.gsmarena.com/vv/bigpic/bird-M29.gif;Bird M29;Released 2007;90g, 15.2mm thickness;Feature phone;37MB storage, microSD slot;6;N/A;88,512 hits;"1.6""";128x160 pixels; ;;700 mAh Li-Ion;GSM 900 / 1800;Class 10;No;2007;Discontinued;107 x 44 x 15.2 mm (4.21 x 1.73 x 0.60 in);90 g (3.17 oz);Mini-SIM;TFT, 65K colors;1.6 inches, 8.1 cm(~17.1% screen-to-body ratio);128 x 160 pixels (~128 ppi density);;microSD (dedicated slot);VGA;No;No;No;No;No;No;Proprietary;;Data/ Fax ModemMP3 playerAudio RecorderFR,HR,EFR,AMR voice codecsLanguages: Chinese, English, French, Arabic, Spanish, Portuguese;Removable Li-Ion 700 mAh battery;Up to 150 h;Up to 3 h;Black, Silver;37MB;
https://www.gsmarena.com/bird_m01-1947.php;https://fdn2.gsmarena.com/vv/bigpic/bird-M01.gif;Bird M01;Released 2007;75g, 18.2mm thickness;Feature phone;62MB storage, no card slot;6;N/A;79,850 hits;"1.5""";128x128 pixels; ;;650 mAh Li-Ion;GSM 900 / 1800;No;No;2007;Discontinued;89.5 x 44 x 18.2 mm (3.52 x 1.73 x 0.72 in);75 g (2.65 oz);Mini-SIM;OLED, 260K colors;1.5 inches, 7.3 cm(~18.4% screen-to-body ratio);128 x 128 pixels, 1:1 ratio (~121 ppi density);;No;No;;;No;No;No;No;Proprietary;;MP3 PlayerAudio RecorderFR,HR,EFR,AMR voice codecsLanguages: Chinese, English, French, Spanish, Portuguese;Removable Li-Ion 650 mAh battery;Up to 140 h;Up to 4 h;Black, White;62MB;
https://www.gsmarena.com/bird_m07-1946.php;https://fdn2.gsmarena.com/vv/bigpic/bird-M07.gif;Bird M07;Released 2007;80g, 15.3mm thickness;Feature phone;57MB storage, no card slot;5;N/A;68,728 hits;"1.5""";128x128 pixels; ;;700 mAh Li-Ion;GSM 900 / 1800;No;No;2007;Discontinued;105 x 44 x 15.3 mm (4.13 x 1.73 x 0.60 in);80 g (2.82 oz);Mini-SIM;CSTN, 65K colors;1.5 inches, 7.3 cm(~15.7% screen-to-body ratio);128 x 128 pixels, 1:1 ratio (~121 ppi density);;No;No;;;No;No;No;No;Proprietary;;MP3 PlayerFR,HR,EFR,AMR voice codecsLanguages: Chinese, English, French, Arabic, Hindi, Spanish, Portuguese;Removable Li-Ion 700 mAh battery;Up to 150 h;Up to 3 h;Black, White Blue, Pink;57MB;
https://www.gsmarena.com/bird_s1130-1945.php;https://fdn2.gsmarena.com/vv/bigpic/bird-s1130.gif;Bird S1130;Released 2007;75g, 18.2mm thickness;Feature phone;No card slot;6;N/A;78,478 hits;"1.5""";128x128 pixels; ;;650 mAh Li-Ion;GSM 900 / 1800;No;No;2007;Discontinued;89.5 x 44 x 18.2 mm (3.52 x 1.73 x 0.72 in);75 g (2.65 oz);Mini-SIM;OLED, 260K colors;1.5 inches, 7.3 cm(~18.4% screen-to-body ratio);128 x 128 pixels, 1:1 ratio (~121 ppi density);;No;No;;;No;No;No;No;No;;FR,HR,EFR,AMR voice codecsLanguages: Chinese, English, French, Spanish, Portuguese;Removable Li-Ion 650 mAh battery;Up to 140 h;Up to 4 h;Black, White;;
https://www.gsmarena.com/bird_v5518+-1944.php;https://fdn2.gsmarena.com/vv/bigpic/bird-V5518+.gif;Bird V5518+;Released 2007;80g, 21.9mm thickness;Feature phone;No card slot;6;N/A;70,047 hits;"1.8""";128x160 pixels; ;;700 mAh Li-Ion;GSM 900 / 1800;No;No;2007;Discontinued;87.8 x 43.8 x 21.9 mm (3.46 x 1.72 x 0.86 in);80 g (2.82 oz);Mini-SIM;CSTN, 65K colors;1.8 inches, 10.2 cm(~26.5% screen-to-body ratio);128 x 160 pixels (~114 ppi density);Second external LCD, monochrome display, 1.1 inches;No;No;;;No;No;No;No;No;;FR,HR,EFR,AMR voice codecsLanguages: Chinese, English, French, Arabic, Hindi, Spanish, Portuguese;Removable Li-Ion 700 mAh battery;Up to 120 h;Up to 3 h;Silver;;
https://www.gsmarena.com/bird_s663-1943.php;https://fdn2.gsmarena.com/vv/bigpic/bird-s663.gif;Bird S663;Released 2007;80g, 15.8mm thickness;Feature phone;No card slot;5;N/A;72,709 hits;"1.5""";128x128 pixels; ;;700 mAh Li-Ion;GSM 900 / 1800;No;No;2007;Discontinued;105.3 x 44 x 15.8 mm (4.15 x 1.73 x 0.62 in);80 g (2.82 oz);Mini-SIM;CSTN, 65K colors;1.5 inches, 7.3 cm(~15.7% screen-to-body ratio);128 x 128 pixels, 1:1 ratio (~121 ppi density);;No;No;;;No;No;No;No;No;;FR,HR,EFR,AMR voice codecsLanguages: Chinese, English, French, Hindi;Removable Li-Ion 700 mAh battery;Up to 140 h;Up to 3 h;Black, White;;
https://www.gsmarena.com/bird_s661-1942.php;https://fdn2.gsmarena.com/vv/bigpic/bird-s661.gif;Bird S661;Released 2007;80g, 15.8mm thickness;Feature phone;No card slot;5;N/A;112,693 hits;"1.5""";128x128 pixels; ;;700 mAh Li-Ion;GSM 900 / 1800;No;No;2007;Discontinued;105.3 x 44 x 15.8 mm (4.15 x 1.73 x 0.62 in);80 g (2.82 oz);Mini-SIM;CSTN, 65K colors;1.5 inches, 7.3 cm(~15.7% screen-to-body ratio);128 x 128 pixels, 1:1 ratio (~121 ppi density);;No;No;;;No;No;No;No;No;;FR,HR,EFR voice codecsLanguages: Chinese, English, French, Arabic;Removable Li-Ion 700 mAh battery;Up to 140 h;Up to 3 h;Black, Pink;;
